Name,Basics,,,,,,,Year / project analysed,,,Information from CC Website,,,,Links,,,,People Helped,,,,,,,,,,,,,Money Flows - to find true(r) cost,,,,Calculations - Cost Per Beneficiary,,,,,,,,,,Money Flows - Incoming,,Reserves,,,App-Related Info,,,,,Description of charity,Stories,Stories - source,Logo image,Photo Image,Photo Caption,Photo - source,Other ,,,,,Educated Guesses of Quality,,
Charity Name,Classification Why,Classification Who,Classification How,Classification Where,Reg Num,Accepts donations?,Analyst,Project,Year start date,Year end date,UK-based giftaidable charity?,CC What,CC Who,CC How,CC Site,Source 1: URL,Source 2: URL,Source - comments/references,Impact 1,Impact 1 Unit,Extra info 1,Impact 2,Impact 2 Unit,Impact 3,Impact 3 Unit,Impact 4,Impact 4 unit,Impact 5,Impact 5 unit,Impact 6,Impact 6 unit,Annual costs,Income from beneficiaries or similar,Fundraising costs,Trading costs,Costs minus deductions,Cost per Ben 1,Cost per Ben 2,Cost per Ben 3,Cost per Ben 4,Cost per Ben 5,Cost per Ben 6,Upper Bound,Adhoc adjustments,Comments/analysis about the cost per beneficiary figure,UK-specific total income,UK-specific voluntary income,Reserves,Percent,Comments,Wording for SoGive app,Representative project?,Is this finished/ready to use?,Confidence indicator,Comments on confidence indicator,Description of charity,Stories,Stories - source,Logo image,Photo Image,Photo Caption,Photo - source,Communications with charity,Where hear about?,Private notes,Location of intervention,External assessments,Assessment,Rating of impactfulness,Comments about quality of intervention
Description of the column,"There's not a fixed taxonomy, but try to use the existing names and separate multiple tags with &",,,,The registration number with the Charity Commission of England & Wales,Does it accept donations from the public? E.g. certain trusts for specific donors wouldn't do this. Any entry in here *must* start with Yes or No,Add your name if you've contributed to this data collection!,This is for when a charity has multiple projects and we've split the analysis up. The Overall category is for the aggregate.,the official timeperiod covered by the report in question.,,"I.e. is gift aid availble? (so for example if it's a multinational group with a uk entity, then the answer would be yes)",Charity Commission activity classification WHAT,Charity Commission activity classification WHO,Charity Commission activity classification HOW,"Link to the charity's page on the charity commission website. Only relevant for those which are registered with the charity commission - or if it's a registered charity in Scotland show the relevant page on the OSCR website, and similarly for the charity commission of Northern Ireland",Source 1: URL - this is typically going to be the annual report from the charity commission website,Source 2: URL,Comments/more detail - e.g. page reference for the number of beneficiaries or anything that was particularly hard to find,"number, usually listed in the prose","units of impact; where there is a noun which would have to change to singular, this should be the first word; try to be descriptive, even if this makes it a bit on the long side",Expand on the short version in a way that clarifies the short version,"Sometimes the accounts will refer to ""indirect beneficiaries"" - include those here. Alternatively include the knock-on impacts or second order impacts in this column","units of impact; where there is a noun which would have to change to singular, this should be the first word; try to be descriptive, even if this makes it a bit on the long side",,"units of impact; where there is a noun which would have to change to singular, this should be the first word; try to be descriptive, even if this makes it a bit on the long side",,"units of impact; where there is a noun which would have to change to singular, this should be the first word; try to be descriptive, even if this makes it a bit on the long side",,"units of impact; where there is a noun which would have to change to singular, this should be the first word; try to be descriptive, even if this makes it a bit on the long side",,"units of impact; where there is a noun which would have to change to singular, this should be the first word; try to be descriptive, even if this makes it a bit on the long side",This is the overall total costs,"Income from beneficiaries - should include income that's generated by activity that helps beneficiaries (typically selling things to beneficiaries). Accounting guidelines encourage charities to show grant funds as ""income from charitable activities"", so the figures labelled as ""income from charitable activities"" in accounts are often not what we need. Reviewing the figures by looking at the notes to the accounts often provides the level of detail needed to judge this correctly. Looking for reason to believe that if this funding disappeared, the charity has the option to simply not do the activity any more.","May be labelled as something like ""costs of generating voluntary income""","How much of the ""cost"" quoted was spent on revenue generating trading/business of the charity. Doesn't include trading where the counterparty of the trade is a beneficiary of the charity (i.e. where the trading *is* part of the charitable work) - this would be income from charitable activities instead)","We deduct the money spent on trading and fundraising to find the money spent on the beneficiaries. The reason for this is just simplicity: if money spent fundraising and on trading just raised itself over again, it'd be the same as if it'd just sat in the bank that year, appearing neither on the cost nor income ledgers.",cost per beneficiary / output,cost per beneficiary / output,cost per beneficiary / output,cost per beneficiary / output,cost per beneficiary / output,cost per beneficiary / output,If the cost per beneficiary calclauted in the spreadsheet is an upper bound for the true cost say yes here otherwise leave blank,Explain here if any changes to the calc of cost per ben/output/outcome. Leave blank if no adhoc adjustment,,"For UK charities only - look only at the UK-specific entity only. If there is no UK entity, enter zero, because there's zero income coming to a uk entity","For UK charities only - look only at the UK-specific entity only. If there is no UK entity, enter zero, because there's zero income coming to a uk entity","Amount of reserves is usually stated in the ""wordy bit"" (c first half of the accounts)",Reserves as % of annual expenditure,"Source (ie which page number in the accounts) ; what is the target level of the reserves, and how does this compare. If you notice any risks such as underisked pension schemes or FX risk, then mention those here too",,"Where a charity has several projects, we may have to choose one as the representative project. For really big mega-charities, it may be necessary to have the ""representative"" row being an aggregate or ""average"" of all the projects",Is there enough data to include in the SoGive app? A judgement,"An indicator of the confidence we have in the data, especially the cost per impact",Why?,About one sentence long,"This is the qualitative bit about what your donation achieves. Stories about beneficiaries (either as a link, or copied and pasted - if copied and pasted also include a source). Sometimes this is available in the annual report and accounts, but may need to look on the charity's website",,,"A link to an image of a beneficiary. Sometimes this is available in the annual report and accounts, but may need to look on the charity's website",,,notes about if and when any emails were sent to the charity,where we heard about the charity. OK to leave this blank,"If we receive info from the charity which they haven't agreed to put into the public domain, you can store this info here",Optional: what part of the world the charity interventions are,optional: Links to any external assessments,Not being used any more,Not being used any more: determined in a very ad-hoc way. Not being used,Not being used any more
Cancer research UK,Cancer & Health,,Research,United Kingdom,1089464,Yes,Sanjay,Overall,1-Apr-2014,31-Mar-2015,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO INDIVIDUALS • MAKES GRANTS TO ORGANISATIONS • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=1089464&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends64/0001089464_AC_20150331_E_C.pdf,,,"4,000",researchers employed for a year,,,,,,,,,,,,"£602,400,000","£2,100,000",,"£73,200,000","£527,100,000","£131,775.00",,,,,,,,"Currently using the comment in the accounts that say that it employs more than 4000 researchers. This seems to result in a slightly high cost per researcher though, although it might be right. I have asked C R UK about this, and they have not been able to answer the question, so I will stick with this figure. The £2.1m of income from charitable activities is for cancer information and policy outreach. There is a further £87m for ""research"", however I'm inclined to think this is probably not income from charitable activites under the sogive definition","£634,900,000","£430,600,000","£307,000,000",51%,"The policy is for 3-5 months spend, and the charity has (to its credit) published its view that it should hold no more than 5 months' spend. Its current level is 5.7 months (according to its calcs - more like 6 months under my calcs, not sure why they are different, but it's not so important). CRUK explains in the accounts that has plans for the reserves to run down over time. Taking a forward-looking view like this is best practice for reserves management. The figures come from P23 of the accounts. ",funded XXXX hours/days/weeks of cancer research,yes,"No - some data issues to reconsider around research charities, e.g. around how to convert money into time that might be measured in different units (minutes/hours/days/etc)",Low,"The cost shown is based on CR UK funding 4000 researchers for a cost of £600m, minus some deductions to get to £400m. It is not clear whether this is right, for example, those 4000 researchers might include some who are partfunded by other organisations, or it may be that there are 4000 ""inhouse"" cruk researchers, but CRUK also funds some researchers who work externally, and some of the cruk funds are also partfunding some other researchers outside of the 4000 mentioned in the accounts. When I contacted CRUK for clarity on this, they were unable to clarify the situation",A UK charity which primarily funds cancer research,,,,,,,"Request sent via website on 25 Jan 2016 asking for a conversation to talk about how they look at impact. Site says they will reply in 5 days. Reply sent on 15th Feb (while I was travelling, so I didn't see it for a while). The response included several paragraphs, but not one referred to how they assess impact, and I infer that they do not do this. Response email sent on 6th Mar asking about how to compare costs with number of researchers. The people I spoke with demonstrated themselves to be poorly equipped to deal with these questions.",,,,,C,4,"Lots of really high impact, but perhaps very comfortably funded already? Givewell has done an initial analysis of this question: http://blog.givewell.org/2014/01/15/returns-to-life-sciences-funding/"
British Heart Foundation (BHF),Health,,Research & Prevention,United Kingdom,225971,Yes,Sanjay,Overall,1-Apr-2013,31-Mar-2014,Yes,• THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH • OTHER CHARITABLE ACTIVITIES ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=225971&SubsidiaryNumber=0,https://www.bhf.org.uk/~/media/files/publications/about-the-bhf/bhf_annualreportaccount2014.pdf,,,??,,,??,,,,,,,,,,"£136,900,000",,,,"£136,900,000",#VALUE!,,,,,,,,,,,,,,,,No - data hard to find in that (old) set of accoutns,,,"BHF fights heart and circulatory disease through research, education, and providing equipment.",,,,,,,,,,,,#VALUE!,,
British Heart Foundation (BHF),Health,,Research & Prevention,United Kingdom,225971,Yes,Sanjay,Overall,1-Apr-2015,31-Mar-2016,Yes,• THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH • OTHER CHARITABLE ACTIVITIES ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=225971&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends71/0000225971_AC_20160331_E_C.pdf,,1100 projects mentioned on p22,1100,research projects,,,,,,,,,,,,"£316,100,000",£0,"£29,400,000","£152,100,000","£134,600,000","£122,363.64",,,,,,,,"Cost is not per beneficiary, but per project. Would be better to get this on a per researcher basis, because a project is a bit meaningless. Income from charitable activities stated as £1m, but £0 would be a better figure from our perspective (not that it's material)","£301,500,000","£118,500,000",,,,,No,"No - some data issues to reconsider around research charities, e.g. around how to convert money into time that might be measured in different units (minutes/hours/days/etc)",,,"BHF fights heart and circulatory disease through research, education, and providing equipment.",,,,,,,,,,,,,,
British Heart Foundation (BHF),Health,,Research & Prevention,United Kingdom,225971,Yes,Sanjay,Research,1-Apr-2015,31-Mar-2016,Yes,• THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH • OTHER CHARITABLE ACTIVITIES ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=225971&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends71/0000225971_AC_20160331_E_C.pdf,,,1100,research projects,,,,,,,,,,,,"£243,172,060",,"£22,617,079","£117,008,764","£103,546,217","£94,133",,,,,,,,,,,,,,funded one research project for XXXX hours/days/weeks,Yes,"No - some data issues to reconsider around research charities, e.g. around how to convert money into time that might be measured in different units (minutes/hours/days/etc)",Low,,"BHF fights heart and circulatory disease through research, education, and providing equipment.",,,,,,,Email sent on 7th March 2017 from sogive email address,,,,,,,
British Heart Foundation (BHF),Health,,Research & Prevention,United Kingdom,225971,Yes,Sanjay,"Prevention, survival and support",1-Apr-2015,31-Mar-2016,Yes,• THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH • OTHER CHARITABLE ACTIVITIES ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=225971&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends71/0000225971_AC_20160331_E_C.pdf,,,,,,,,,,,,,,,,"£72,927,940",,"£5,218,023","£26,995,280","£40,714,637",#DIV/0!,,,,,,,,,,,,,,,No,"No - some data issues to reconsider around research charities, e.g. around how to convert money into time that might be measured in different units (minutes/hours/days/etc)",,,"BHF fights heart and circulatory disease through research, education, and providing equipment.",,,,,,,,,,,,,,
Macmillan Cancer support,Cancer & Health,,Direct Work,United Kingdom,261017,Yes,Sanjay,Overall,1-Jan-2013,31-Dec-2013,Yes,,,,,http://www.macmillan.org.uk/Documents/AboutUs/RaiseAndSpend/AnnualReviews/AnnualReport2013.pdf,,Numbers of beneficiaries taken from c p5,"775,055",,,,,,,,,,,,,"£121,700,000",,,,"£121,700,000",£157.02,,,,,,,,"Not clear whether this adding up of beneficiaries is correct e.g. doesn't overlap, or could be missing some beneficiaries",,,,,,,,,Low,"Not clear whether this adding up of beneficiaries is correct e.g. doesn't overlap, or could be missing some beneficiaries","Macmillan supports cancer sufferers through nursing services, providing information (eg online), providing financial support (including financial advice and grants to cancer sufferers), and campaigning. Macmillan does relatively little research, which is focused on how to improve cancer services.",,,,,,,,,,,,#N/A,,
Macmillan Cancer support,Cancer & Health,,Direct Work,United Kingdom,261017,Yes,Sanjay,Overall,1-Jan-2015,31-Dec-2015,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • THE PREVENTION OR RELIEF OF POVERTY ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN • OTHER CHARITIES OR VOLUNTARY BODIES • OTHER DEFINED GROUPS • THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO INDIVIDUALS • MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,,http://apps.charitycommission.gov.uk/Accounts/Ends17/0000261017_AC_20151231_E_C.pdf,,No of beneficiaries stated on p14,"5,800,000",people supported,"This is an average of lots of different types of support, including for cancer sufferers themselves and their families, and including intensive support from a nurse or light-touch help such as reading something on the website.",,,,,,,,,,,"£240,491,000",£0,"£74,972,000",£0.00,"£165,519,000",£28.54,,,,,,,,"Cost per beneficiary looks materially cheaper than the previous set of accounts (2013 accounts) but this is proabbly because we were only capturing a subset of the beneficiaries from that set of accounts, whereas this set of accounts counts up all the beneficiaries. Breakdown is provided: 2m people living with cancer, 0.6m carers, 3.2m family and friends. The information on the page in the accounts shows that these people reached are a mixture, some receiving a relatively ""intensive"" intervention, such as help from a nurse, but others are just calling a helpline, or even just seeing info on a website","£230,211,000","£214,900,000","£31,659,000",13%,"To Macmillan's credit, they state a target range, including the level at which they consider their reserves to be ""too high"", and this threshold is £30m. The actual reserves are only marginally above this, and as the threshold they have set is not very high compared with the overall spend of the charity, this does not seem to constitute a worry, or a reason to avoid donating to this charity.","Your donation enabled XXX people to receive support with regard to the cancer suffered by them or a friend or family member, be it through being helped by a nurse or reading information on the Macmillan website",Yes,Yes,Medium,,"Macmillan supports cancer sufferers through nursing services, providing information (eg online), providing financial support (including financial advice and grants to cancer sufferers), and campaigning. Macmillan does relatively little research, which is focused on how to improve cancer services.",https://docs.google.com/spreadsheets/d/1D41t1AaAX2oQEjZqQzqT8FOSTQsT_qybMg2i4auEJkc/edit#gid=0,p16-17 of 2015 accounts: http://apps.charitycommission.gov.uk/Accounts/Ends17/0000261017_AC_20151231_E_C.pdf,https://github.com/winterstein/SoGive/blob/master/webroot/img/external/Macmillan%20logo.jpg?raw=true,https://github.com/winterstein/SoGive/blob/master/webroot/img/external/Macmillan%20Dave.PNG?raw=true,,p16-17 of 2015 accounts: http://apps.charitycommission.gov.uk/Accounts/Ends17/0000261017_AC_20151231_E_C.pdf,,,,,,,,
Oxfam,International aid & Poverty & Disaster response,,Direct Work & Campaigning,Developing World,202918,Yes,Sanjay,Overall,1-Apr-2013,31-Mar-2014,Yes,• THE PREVENTION OR RELIEF OF POVERTY • OVERSEAS AID / FAMINE RELIEF ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER CHARITIES OR VOLUNTARY BODIES • THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES OTHER FINANCE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=202918&SubsidiaryNumber=0,http://www.oxfamannualreport.org.uk/wp-content/uploads/2014/07/ARA_web.pdf,,,"11,000,000",people supported out of poverty,"This is an average of lots of different types of support, however this is solely people who were ""directly"" helped, and excludes the people benefiting from changes in government policy and practices because of Oxfam.",,,,,,,,,,,"£268,900,000","£5,200,000","£25,500,000","£68,900,000","£169,300,000",£15.39,,,,,,,,"I'm slightly worried about the risks of partnership working spoiling this metric (not yet investigated this). Income from charitable activities given in note 2d(ii), page 45.","£389,100,000","£118,300,000",,,,Your donation enabled XXX people to be supported in being lifted out of poverty,Yes,Yes,Low,Partnership working may have skewed the numbers,Oxfam is a large charity which aims to lift people out of poverty,"Brian in South Sudan is no stranger to heavy lifting – he shifts three tonnes of water on his bike, every day. Thanks to Oxfam supporters, he now shifts three tonnes of clean, safe water on his bike every day.",Video on http://www.oxfam.org.uk/what-we-do/the-impact-of-our-work,https://github.com/winterstein/SoGive/blob/master/webroot/img/external/Oxfam%20logo.png?raw=true,https://github.com/winterstein/SoGive/blob/master/webroot/img/external/Oxfam%20-%20Brian.PNG?raw=true,,Video on http://www.oxfam.org.uk/what-we-do/the-impact-of-our-work,,,,,,A,5,
